| infectadas: 15.0 | suseptibles a infectarse: 5.0 | Recuperados: 0.0

Persona	time	x	y
Persona 11	5.8000000000000025	41.0	77.0
Persona 12	5.8000000000000025	78.0	87.0
Persona 13	5.8000000000000025	72.0	95.0
Persona 14	5.8000000000000025	58.0	39.0
Persona 15	5.8000000000000025	86.0	64.0
Persona 16	5.8000000000000025	86.0	46.0
Persona 17	5.8000000000000025	60.0	93.0
Persona 18	5.8000000000000025	98.0	9.0
Persona 19	5.8000000000000025	32.0	67.0
Persona 20	5.8000000000000025	5.0	38.0
Persona 1	6.000000000000003	42.0	5.0
Persona 2	6.000000000000003	16.0	5.0
Persona 3	6.000000000000003	97.0	79.0
Persona 4	6.000000000000003	48.0	71.0
Persona 5	6.000000000000003	13.0	29.0
Persona 6	6.000000000000003	17.0	95.0
Persona 7	6.000000000000003	21.0	36.0
Persona 8	6.000000000000003	45.0	35.0
Persona 9	6.000000000000003	76.0	48.0
Persona 10	6.000000000000003	11.0	81.0
Persona 11	6.000000000000003	42.0	76.0
Persona 12	6.000000000000003	79.0	88.0
Persona 13	6.000000000000003	71.0	94.0
Persona 14	6.000000000000003	59.0	39.0
Persona 15	6.000000000000003	85.0	63.0
Persona 16	6.000000000000003	85.0	45.0
Persona 17	6.000000000000003	59.0	92.0
Persona 18	6.000000000000003	99.0	10.0
Persona 19	6.000000000000003	32.0	66.0
Persona 20	6.000000000000003	6.0	39.0
Persona 1	6.200000000000003	41.0	4.0
Persona 2	6.200000000000003	16.0	6.0
Persona 3	6.200000000000003	98.0	79.0
Persona 4	6.200000000000003	49.0	70.0
Persona 5	6.200000000000003	13.0	30.0
Persona 6	6.200000000000003	18.0	94.0
Persona 7	6.200000000000003	22.0	36.0
Persona 8	6.200000000000003	46.0	35.0
Persona 9	6.200000000000003	75.0	47.0
Persona 10	6.200000000000003	10.0	82.0
Persona 11	6.200000000000003	43.0	76.0
Persona 12	6.200000000000003	79.0	89.0
Persona 13	6.200000000000003	70.0	93.0
Persona 14	6.200000000000003	60.0	39.0
Persona 15	6.200000000000003	84.0	62.0
Persona 16	6.200000000000003	84.0	44.0
Persona 17	6.200000000000003	58.0	91.0
Persona 18	6.200000000000003	99.0	11.0
Persona 19	6.200000000000003	33.0	65.0
Persona 20	6.200000000000003	6.0	40.0
Persona 1	6.400000000000003	41.0	3.0
Persona 2	6.400000000000003	16.0	7.0
Persona 3	6.400000000000003	99.0	80.0
Persona 4	6.400000000000003	50.0	69.0
Persona 5	6.400000000000003	13.0	31.0
Persona 6	6.400000000000003	19.0	93.0
Persona 7	6.400000000000003	23.0	37.0
